ProductID,Name,Color,ListPrice,Weight
680,"HL Road Frame - Black, 58","Black",1431.5000,1016.04
706,"HL Road Frame - Red, 58","Red",1431.5000,1016.04
707,"Sport-100 Helmet, Red","Red",34.9900,
708,"Sport-100 Helmet, Black","Black",34.9900,
709,"Mountain Bike Socks, M","White",9.5000,
710,"Mountain Bike Socks, L","White",9.5000,
711,"Sport-100 Helmet, Blue","Blue",34.9900,
712,"AWC Logo Cap","Multi",8.9900,
713,"Long-Sleeve Logo Jersey, S","Multi",49.9900,
714,"Long-Sleeve Logo Jersey, M","Multi",49.9900,
715,"Long-Sleeve Logo Jersey, L","Multi",49.9900,
716,"Long-Sleeve Logo Jersey, XL","Multi",49.9900,
717,"HL Road Frame - Red, 62","Red",1431.5000,1043.26
718,"HL Road Frame - Red, 44","Red",1431.5000,961.61
719,"HL Road Frame - Red, 48","Red",1431.5000,979.75
720,"HL Road Frame - Red, 52","Red",1431.5000,997.90
721,"HL Road Frame - Red, 56","Red",1431.5000,1016.04
722,"LL Road Frame - Black, 58","Black",337.2200,1115.83
723,"LL Road Frame - Black, 60","Black",337.2200,1124.90
724,"LL Road Frame - Black, 62","Black",337.2200,1133.98
725,"LL Road Frame - Red, 44","Red",337.2200,1052.33
726,"LL Road Frame - Red, 48","Red",337.2200,1070.47
727,"LL Road Frame - Red, 52","Red",337.2200,1088.62
728,"LL Road Frame - Red, 58","Red",337.2200,1115.83
729,"LL Road Frame - Red, 60","Red",337.2200,1124.90
730,"LL Road Frame - Red, 62","Red",337.2200,1133.98
731,"ML Road Frame - Red, 44","Red",594.8300,1006.97
732,"ML Road Frame - Red, 48","Red",594.8300,1025.11
733,"ML Road Frame - Red, 52","Red",594.8300,1043.26
734,"ML Road Frame - Red, 58","Red",594.8300,1070.47
735,"ML Road Frame - Red, 60","Red",594.8300,1079.54
736,"LL Road Frame - Black, 44","Black",337.2200,1052.33
737,"LL Road Frame - Black, 48","Black",337.2200,1070.47
738,"LL Road Frame - Black, 52","Black",337.2200,1088.62
739,"HL Mountain Frame - Silver, 42","Silver",1364.5000,1233.76
740,"HL Mountain Frame - Silver, 44","Silver",1364.5000,1251.91
741,"HL Mountain Frame - Silver, 48","Silver",1364.5000,1270.05
742,"HL Mountain Frame - Silver, 46","Silver",1364.5000,1288.20
743,"HL Mountain Frame - Black, 42","Black",1349.6000,1233.76
744,"HL Mountain Frame - Black, 44","Black",1349.6000,1251.91
745,"HL Mountain Frame - Black, 48","Black",1349.6000,1270.05
746,"HL Mountain Frame - Black, 46","Black",1349.6000,1288.20
747,"HL Mountain Frame - Black, 38","Black",1349.6000,1215.62
748,"HL Mountain Frame - Silver, 38","Silver",1364.5000,1215.62
749,"Road-150 Red, 62","Red",3578.2700,6803.85
750,"Road-150 Red, 44","Red",3578.2700,6245.93
751,"Road-150 Red, 48","Red",3578.2700,6409.23
752,"Road-150 Red, 52","Red",3578.2700,6540.77
753,"Road-150 Red, 56","Red",3578.2700,6658.70
754,"Road-450 Red, 58","Red",1457.9900,8069.37
755,"Road-450 Red, 60","Red",1457.9900,8119.26
756,"Road-450 Red, 44","Red",1457.9900,7606.70
